loop-location,icc-parallel,loop-absolute-size,loop-payload-fraction,loop-proper-sccs-number,loop-critical-payload-fraction,iterator-payload-total-cohesion,iterator-payload-non-cf-cohesion,critical-payload-total-cohesion,critical-payload-non-cf-cohesion,payload-total-dependencies-number,payload-true-dependencies-number,payload-anti-dependencies-number,critical-payload-total-dependencies-number,critical-payload-true-dependencies-number,critical-payload-anti-dependencies-number
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(163),1,64,0.2188,2,0.5714,0.1268,0.01408,0.04762,0.04762,21,12,9,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(165),1,47,0.383,2,0.4444,0.2258,0.01613,0.08,0.08,25,16,9,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(168),0,25,0.68,0,0,0.3585,0.03774,0,0,14,14,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(146),1,64,0.2188,2,0.5714,0.1268,0.01408,0.04762,0.04762,21,12,9,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(148),1,47,0.383,2,0.4444,0.2258,0.01613,0.08,0.08,25,16,9,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(151),0,25,0.68,0,0,0.3585,0.03774,0,0,14,14,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(129),1,64,0.2188,2,0.5714,0.1268,0.01408,0.04762,0.04762,21,12,9,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(131),1,47,0.383,2,0.4444,0.2258,0.01613,0.08,0.08,25,16,9,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(134),0,25,0.68,0,0,0.3585,0.03774,0,0,14,14,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(112),1,64,0.2188,2,0.5714,0.1268,0.01408,0.04762,0.04762,21,12,9,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(114),1,47,0.383,2,0.4444,0.2258,0.01613,0.08,0.08,25,16,9,18,9,9
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(117),0,25,0.68,0,0,0.3585,0.03774,0,0,14,14,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(70),1,212,0.08019,2,0.6471,0.04523,0.005025,0.03704,0.03704,27,15,12,24,12,12
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(72),0,195,0.08718,2,0.6471,0.05143,0.005714,0.03704,0.03704,27,15,12,24,12,12
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(74),0,178,0.2416,5,0.7907,0.09554,0.006369,0.01053,0.01053,95,49,46,92,46,46
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(77),0,18,0.5556,0,0,0.3077,0.05128,0,0,7,7,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(81),0,18,0.5556,0,0,0.3077,0.05128,0,0,7,7,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(85),0,18,0.5556,0,0,0.3077,0.05128,0,0,7,7,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(89),1,101,0.8713,3,0.1705,0.4025,0.02966,0.1415,0.1415,106,94,12,24,12,12
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(56),1,57,0.1404,1,0.625,0.06667,0,0,0,12,6,6,12,6,6
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(57),1,45,0.1778,1,0.625,0.08333,0,0,0,12,6,6,12,6,6
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(58),1,33,0,0,0,0,0,0,0,0,0,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(59),1,21,0.6667,0,0,0.3488,0.02326,0,0,11,11,0,0,0,0
/home/s1736883/Work/PParMetrics/benchmarks/snu-npb/nauseous-omp/BT/src/initialize.c(229),1,66,0.09091,0,0,0.1408,0.05634,0,0,5,5,0,0,0,0
