loop-absolute-size,loop-payload-fraction,loop-proper-sccs-number,iterator-payload-total-cohesion,iterator-payload-non-cf-cohesion,iterator-payload-mem-cohesion,critical0payload0total0cohesion,critical0payload0non0cf0cohesion,critical0payload0mem0cohesion,payload-total-dependencies-number,payload-true-dependencies-number,payload-anti-dependencies-number,payload-output-dependencies-number,critical-payload-total-dependencies-number,critical-payload-true-dependencies-number,critical-payload-anti-dependencies-number,critical-payload-output-dependencies-number
58,0.8793,2,0.3333,0.00641,0,0.1609,0.1609,0,35,0,35,0,52,23,29,0
12,0.4167,0,0.24,0.04,0,0,0,0,2,0,2,0,0,0,0,0
21,0.6667,2,0.2273,0,0,0.2222,0.05556,0,8,4,4,0,10,3,7,0
112,0.04464,0,0.01858,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.8793,2,0.3333,0.00641,0,0.1609,0.1609,0,35,0,35,0,52,23,29,0
12,0.4167,0,0.24,0.04,0,0,0,0,2,0,2,0,0,0,0,0
134,0.0597,0,0.05556,0.01852,0,0,0,0,6,0,6,0,0,0,0,0
38,0.6316,1,0.2979,0.04255,0,0.1562,0.1562,0,16,0,16,0,16,6,10,0
60,0.7833,1,0.3846,0.02308,0,0.102,0.102,0,38,0,38,0,11,3,8,0
24,0.125,0,0.05882,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0.2143,2,0.09953,0.01422,0,0.2857,0.2857,0,6,0,6,0,8,2,6,0
19,0.4211,0,0.25,0.05,0,0,0,0,4,0,4,0,0,0,0,0
22,0.6364,1,0.3,0.02,0,0.1875,0.1875,0,7,0,7,0,9,2,7,0
83,0.2048,1,0.08589,0.006135,0,0.0625,0.0625,0,8,2,6,0,8,4,4,0
20,0.05,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.08824,0,0.0411,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0.04167,0,0.007472,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.08696,0,0.03333,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.04878,0,0.01075,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.08,0,0.03333,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.04255,0,0.01439,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.06061,0,0.02299,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0.8806,1,0.3571,0.005952,0,0.08989,0.08989,0,10,0,10,0,79,21,58,0
